0.34,410,0.7
0.66,687,1
1.01,1018,2.1
1.32,1322,2.1
1.66,1638,1.7
2.02,1976,1.8
2.35,2280,2.7
2.67,2607,3.1
3,2889,2.9
3.33,3181,3.3
3.67,3515,4.2
4.02,3820,4.1
4.32,4092,4.4
4.62,4344,3.5
5.03,4709,3.7
