0,1209,34.8,24.2
4.5,1090,33,21.8
6.5,1066,32.6,21.3
21.8,831,28.8,16.6
28.1,756,27.5,15.1
32.6,670,25.9,13.4
35.3,644,25.4,12.9
43.4,583,24.1,11.7
54.2,528,23,10.6
73.1,456,21.4,9.1
83.9,386,19.6,7.7
94.7,277,16.6,5.5
105.5,267,16.3,5.3
121.7,178,13.3,3.6
129,134,11.6,2.7
139.8,102,10.1,2
150.6,80,8.9,1.6
161,78,8.8,1.6
185.3,71,8.4,1.4
206,65,8.1,1.3
